node_id,parent_id,stage,arm,primary,GAUC,nDCG@5,delta_primary,ci95_lo,ci95_hi,confirmed,skip,buggy,error,patch,tokens_in,tokens_out,gpu_seconds
112_ablate_c1_s1,107_sequence,improve,ablate,0.60360,0.67022,0.53697,-0.00035,-0.00170,0.00119,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,349.7
113_ablate_c1_s2,107_sequence,improve,ablate,0.60321,0.67004,0.53639,-0.00073,-0.00196,0.00072,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,349.3
114_ablate,107_sequence,ablate,ablate,,,,,,,,false,false,,ablate,9010,7024,0.0
115_sequence,000_fm_baseline,improve,sequence,,,,,,,,true,false,duplicate of 067_sequence,skip,14457,8241,0.0
116_regularization,098_ablate_c0_s0,improve,regularization,0.60293,0.66900,0.53687,-0.00102,-0.00230,0.00069,false,false,false,,"{""l2"": 1e-05}",14756,1279,178.7
117_regularization,098_ablate_c0_s0,improve,regularization,0.60293,0.66911,0.53675,-0.00102,-0.00237,0.00054,false,false,false,,"{""l2"": 5e-06}",14803,3920,180.4
118_sequence,098_ablate_c0_s0,improve,sequence,,,,,,,,true,false,cross-run CI_hi<0 graveyard,skip,14826,9821,0.0
119_capacity,098_ablate_c0_s0,improve,capacity,0.60286,0.66879,0.53692,-0.00109,-0.00251,0.00040,false,false,false,,"{""k"": 8}",14828,5252,114.1
120_architecture,098_ablate_c0_s0,improve,architecture,0.60342,0.66980,0.53703,-0.00053,-0.00157,0.00052,false,false,false,,"{""arch"": ""dcnv2""}",14877,4853,149.1
121_ablate_c0_s0,120_architecture,improve,ablate,0.60342,0.66980,0.53703,-0.00053,-0.00157,0.00052,false,false,false,,"{""arch"": ""dcnv2"", ""seed"": 0}",0,0,164.5
122_ablate_c0_s1,120_architecture,improve,ablate,0.60353,0.67011,0.53695,-0.00042,-0.00148,0.00076,false,false,false,,"{""arch"": ""dcnv2"", ""seed"": 1}",0,0,164.0
123_ablate_c0_s2,120_architecture,improve,ablate,0.60350,0.67005,0.53694,-0.00045,-0.00156,0.00073,false,false,false,,"{""arch"": ""dcnv2"", ""seed"": 2}",0,0,164.5
124_ablate_c1_s0,120_architecture,improve,ablate,0.60294,0.66903,0.53685,-0.00101,-0.00227,0.00043,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,184.1
125_ablate_c1_s1,120_architecture,improve,ablate,0.60324,0.66945,0.53702,-0.00071,-0.00212,0.00095,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,165.3
126_ablate_c1_s2,120_architecture,improve,ablate,0.60147,0.66702,0.53592,-0.00248,-0.00395,-0.00094,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,184.3
127_ablate,120_architecture,ablate,ablate,,,,,,,,false,false,,ablate,9121,6986,0.0
128_architecture,098_ablate_c0_s0,improve,architecture,,,,,,,,true,false,duplicate of 097_sequence,skip,14932,11690,0.0
129_architecture,098_ablate_c0_s0,improve,architecture,,,,,,,,true,false,duplicate of 097_sequence,skip,14932,8348,0.0
130_ablate_c0_s0,098_ablate_c0_s0,improve,ablate,0.60388,0.66993,0.53783,-0.00007,0.00000,0.00000,false,false,false,,"{""seed"": 0, ""seq_len"": 50, ""seq_mode"": ""din""}",0,0,174.0
131_ablate_c0_s1,098_ablate_c0_s0,improve,ablate,0.60399,0.67033,0.53764,0.00004,-0.00100,0.00109,false,false,false,,"{""seed"": 1, ""seq_len"": 50, ""seq_mode"": ""din""}",0,0,212.4
132_ablate_c0_s2,098_ablate_c0_s0,improve,ablate,0.60398,0.67037,0.53759,0.00003,-0.00099,0.00121,false,false,false,,"{""seed"": 2, ""seq_len"": 50, ""seq_mode"": ""din""}",0,0,212.9
133_ablate_c1_s0,098_ablate_c0_s0,improve,ablate,0.60372,0.67009,0.53735,-0.00023,-0.00143,0.00114,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,267.0
134_ablate_c1_s1,098_ablate_c0_s0,improve,ablate,0.60340,0.67005,0.53676,-0.00054,-0.00185,0.00107,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,229.1
135_ablate_c1_s2,098_ablate_c0_s0,improve,ablate,0.60300,0.66965,0.53635,-0.00095,-0.00211,0.00053,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,228.3
136_ablate,098_ablate_c0_s0,ablate,ablate,,,,,,,,false,false,,ablate,9205,16147,0.0
137_architecture,098_ablate_c0_s0,improve,architecture,,,,,,,,true,false,duplicate of 097_sequence,skip,15005,5639,0.0
138_sequence,098_ablate_c0_s0,improve,sequence,0.60257,0.66874,0.53641,-0.00138,-0.00261,0.00004,false,false,false,,"{""seq_len"": 20, ""seq_mode"": ""din""}",14980,15547,69.2
139_ablate_c0_s0,138_sequence,improve,ablate,0.60257,0.66874,0.53641,-0.00138,-0.00261,0.00004,false,false,false,,"{""seed"": 0, ""seq_len"": 20, ""seq_mode"": ""din""}",0,0,73.9
